127.0.0.1 - - [23/Dec/2023:22:19:23 +0900] "GET / HTTP/1.1" 200 14523
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET / HTTP/1.1" 200 14523
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/js/header.js HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/bannerTest1.jpg HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/css/page.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/css/index.css HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/bannerTest2.png HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/avocartLogo.png HTTP/1.1" 200 67069
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/bannerTest4.jpg HTTP/1.1" 200 11261
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/js/footerSlider.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/css/global.css HTTP/1.1" 200 7482
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/bannerTest3.png HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/css/reset.css HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/js/index.js HTTP/1.1" 200 12772
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/macbook.png HTTP/1.1" 200 312435
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/woman.png HTTP/1.1" 200 71934
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/baby_shark.png HTTP/1.1" 200 413382
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/sofa.png HTTP/1.1" 200 566803
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/man.png HTTP/1.1" 200 352998
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/iron.png HTTP/1.1" 200 1039656
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:24 +0900] "GET /resources/image/Spinner-5.gif HTTP/1.1" 200 17380
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/image/sunglasses.png HTTP/1.1" 200 917036
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/image/plate.png HTTP/1.1" 200 5074969
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/font/Fugaz_One/FugazOne-Regular.ttf HTTP/1.1" 200 26000
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/image/cookie.png HTTP/1.1" 200 6798483
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /jobList HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /info/slider HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/image/joystick.png HTTP/1.1" 200 391397
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/image/brush.png HTTP/1.1" 200 26326
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /storeList HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /communityList HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /joongoLikeList HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /communityLikeList HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /joongoList HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/image/bannerTest1.jpg HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/image/green_leaves.png HTTP/1.1" 200 1588048
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/image/dog.png HTTP/1.1" 200 1682152
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/image/avocartLogo.png HTTP/1.1" 200 67069
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/image/logoimage.png HTTP/1.1" 200 23020
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /resources/image/book.png HTTP/1.1" 200 8158222
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /thumb/1 HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /upload/product/2023/12/16/1a816108-b74c-47c2-8180-d196c83315a4_aa4ffa4c-e1db-4e22-8926-e52faf6de44d_lotso.jpeg HTTP/1.1" 200 64120
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:25 +0900] "GET /member/login HTTP/1.1" 200 7116
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:28 +0900] "GET /member/login HTTP/1.1" 200 7116
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:28 +0900] "GET /resources/css/memberLogin.css HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:28 +0900] "GET /resources/css/page.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:28 +0900] "GET /resources/js/header.js HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:28 +0900] "GET /resources/js/footerSlider.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:28 +0900] "GET /resources/js/memberLogin.js HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:28 +0900] "GET /resources/css/global.css HTTP/1.1" 200 7482
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:28 +0900] "GET /resources/css/reset.css HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:28 +0900] "GET /resources/image/avocartLogo.png HTTP/1.1" 200 67069
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:29 +0900] "GET /resources/font/Fugaz_One/FugazOne-Regular.ttf HTTP/1.1" 200 26000
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:29 +0900] "GET /info/slider HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Dec/2023:22:19:29 +0900] "GET /favicon.ico HTTP/1.1" 302 -
